episode,steps,sim_seconds,total_reward,epsilon,average_loss,updates,buffer_size
1,450,7200,-7542.435916,0.987097,0.00000000,0,450
2,450,7200,-5830.056832,0.974360,0.00000000,0,900
3,450,7200,-7576.816265,0.961787,0.00000000,0,1350
4,450,7200,-9660.247055,0.949377,0.00000000,0,1800
5,450,7200,-7076.306803,0.937127,10.06298377,251,2250
6,450,7200,-9414.201659,0.925035,5.23389341,450,2700
7,450,7200,-5012.912951,0.913099,3.88940465,450,3150
8,450,7200,-6212.663525,0.901317,3.10229744,450,3600
9,450,7200,-6512.253743,0.889687,2.79969171,450,4050
10,450,7200,-8458.332804,0.878207,2.73582947,450,4500
11,450,7200,-4704.479507,0.866876,4.03224137,450,4950
12,450,7200,-4954.210027,0.855690,3.27490620,450,5400
13,450,7200,-5194.451732,0.844649,3.13461690,450,5850
14,450,7200,-6018.200840,0.833750,2.98146972,450,6300
15,450,7200,-6191.285458,0.822992,2.99032271,450,6750
16,450,7200,-5087.222259,0.812373,2.70552307,450,7200
17,450,7200,-5192.144530,0.801890,2.59800369,450,7650
18,450,7200,-4083.972663,0.791543,2.59356744,450,8100
19,450,7200,-3922.032244,0.781330,2.48097689,450,8550
20,450,7200,-3586.681865,0.771248,2.44381720,450,9000
21,450,7200,-4263.629804,0.761297,2.26424535,450,9450
22,450,7200,-3486.101923,0.751473,2.18554472,450,9900
23,450,7200,-3872.219335,0.741777,2.11951363,450,10350
24,450,7200,-5529.514188,0.732206,2.05737039,450,10800
25,450,7200,-3518.386932,0.722758,2.11395934,450,11250
26,450,7200,-4377.819956,0.713432,1.97542196,450,11700
27,450,7200,-4407.994010,0.704226,1.98455667,450,12150
28,450,7200,-3818.395086,0.695139,1.94068889,450,12600
29,450,7200,-4121.909509,0.686170,1.90815347,450,13050
30,450,7200,-3908.757656,0.677316,1.86818461,450,13500
31,450,7200,-3832.843496,0.668576,1.76866654,450,13950
32,450,7200,-4183.459822,0.659949,1.74517703,450,14400
33,450,7200,-3377.902767,0.651434,1.70243014,450,14850
34,450,7200,-3655.466031,0.643028,1.72503348,450,15300
35,450,7200,-3109.650378,0.634731,1.72287115,450,15750
36,450,7200,-3814.176099,0.626541,1.63336013,450,16200
37,450,7200,-3370.565836,0.618457,1.61847188,450,16650
38,450,7200,-3893.256908,0.610476,1.59145793,450,17100
39,450,7200,-3562.577116,0.602599,1.58918509,450,17550
40,450,7200,-3361.730645,0.594824,1.53965482,450,18000
41,450,7200,-4039.326181,0.587149,1.61855878,450,18450
42,450,7200,-3396.171111,0.579572,1.51852375,450,18900
43,450,7200,-3333.678236,0.572094,1.48956009,450,19350
44,450,7200,-3063.185358,0.564712,1.49243786,450,19800
45,450,7200,-3692.647026,0.557426,1.49411896,450,20250
46,450,7200,-3695.472057,0.550233,1.45342162,450,20700
47,450,7200,-3440.304525,0.543133,1.44396307,450,21150
48,450,7200,-2972.238690,0.536125,1.41926847,450,21600
49,450,7200,-3083.776202,0.529207,1.39623492,450,22050
50,450,7200,-2885.138785,0.522379,1.38322508,450,22500
51,450,7200,-2861.871681,0.515638,1.39907231,450,22950
52,450,7200,-2955.745056,0.508985,1.38177173,450,23400
53,450,7200,-3498.987970,0.502417,1.31805325,450,23850
54,450,7200,-2874.262954,0.495934,1.30427206,450,24300
55,450,7200,-2752.559370,0.489535,1.31529110,450,24750
56,450,7200,-3278.239439,0.483219,1.30971150,450,25200
57,450,7200,-3101.907439,0.476984,1.31987780,450,25650
58,450,7200,-2949.571858,0.470829,1.29423640,450,26100
59,450,7200,-2843.012254,0.464754,1.24975434,450,26550
60,450,7200,-2715.604013,0.458757,1.28703807,450,27000
61,450,7200,-2913.279569,0.452837,1.32868733,450,27450
62,450,7200,-3141.302955,0.446994,1.28974424,450,27900
63,450,7200,-2631.464992,0.441227,1.31684059,450,28350
64,450,7200,-3064.909876,0.435533,1.28047272,450,28800
65,450,7200,-2895.565896,0.429913,1.28278111,450,29250
66,450,7200,-2838.908631,0.424366,1.25556325,450,29700
67,450,7200,-2666.087514,0.418890,1.23870454,450,30150
68,450,7200,-2700.010826,0.413485,1.27461431,450,30600
69,450,7200,-2647.655064,0.408150,1.26513902,450,31050
70,450,7200,-3096.725924,0.402884,1.23550065,450,31500
71,450,7200,-2576.749014,0.397685,1.24107986,450,31950
72,450,7200,-2630.488349,0.392554,1.20341171,450,32400
73,450,7200,-2729.647473,0.387488,1.21337744,450,32850
74,450,7200,-2968.929341,0.382489,1.22604660,450,33300
75,450,7200,-2778.439362,0.377553,1.17220154,450,33750
76,450,7200,-2601.767620,0.372681,1.17917921,450,34200
77,450,7200,-2659.367353,0.367873,1.20854022,450,34650
78,450,7200,-2883.035635,0.363126,1.18795022,450,35100
79,450,7200,-2561.602512,0.358440,1.15211129,450,35550
80,450,7200,-2790.327493,0.353815,1.17035005,450,36000
81,450,7200,-2965.208876,0.349250,1.15815510,450,36450
82,450,7200,-2719.857252,0.344743,1.14985991,450,36900
83,450,7200,-2515.160757,0.340295,1.10759757,450,37350
84,450,7200,-2550.523884,0.335904,1.11298664,450,37800
85,450,7200,-2607.855337,0.331570,1.14209439,450,38250
86,450,7200,-2919.711002,0.327292,1.15859056,450,38700
87,450,7200,-2492.746361,0.323069,1.10747932,450,39150
88,450,7200,-2764.039904,0.318900,1.06713959,450,39600
89,450,7200,-2482.967722,0.314785,1.10217456,450,40050
90,450,7200,-2263.639090,0.310723,1.10211288,450,40500
91,450,7200,-2534.063764,0.306714,1.05866278,450,40950
92,450,7200,-2458.505353,0.302756,1.09938220,450,41400
93,450,7200,-2428.529066,0.298850,1.07594163,450,41850
94,450,7200,-2504.098660,0.294994,1.04900135,450,42300
95,450,7200,-2591.945884,0.291187,1.06648908,450,42750
96,450,7200,-2810.536892,0.287430,1.08996786,450,43200
97,450,7200,-2277.660264,0.283721,1.03423854,450,43650
98,450,7200,-2362.942118,0.280060,1.04446711,450,44100
99,450,7200,-2487.026560,0.276447,1.04607175,450,44550
100,450,7200,-2553.982777,0.272879,1.02131684,450,45000
101,450,7200,-2546.929335,0.269358,1.00816236,450,45450
102,450,7200,-2295.385151,0.265883,1.02061680,450,45900
103,450,7200,-2133.749142,0.262452,0.98475998,450,46350
104,450,7200,-2621.839972,0.259066,1.04349074,450,46800
105,450,7200,-2545.353601,0.255723,1.01848266,450,47250
106,450,7200,-2198.390501,0.252423,0.98569582,450,47700
107,450,7200,-2740.785691,0.249166,0.99692508,450,48150
108,450,7200,-2409.812125,0.245951,0.97886356,450,48600
109,450,7200,-2322.562741,0.242777,1.00765221,450,49050
110,450,7200,-2392.358763,0.239645,0.98478916,450,49500
111,450,7200,-2252.819372,0.236553,1.00130736,450,49950
112,450,7200,-2139.939144,0.233500,0.98197916,450,50400
113,450,7200,-2630.351761,0.230487,0.99087342,450,50850
114,450,7200,-2104.111435,0.227513,1.00265623,450,51300
115,450,7200,-2216.510737,0.224578,0.97057321,450,51750
116,450,7200,-2446.503706,0.221680,0.96047672,450,52200
117,450,7200,-2561.261573,0.218819,0.98206229,450,52650
118,450,7200,-2412.601435,0.215996,0.93576148,450,53100
119,450,7200,-2373.417284,0.213209,0.93877601,450,53550
