metric,webster,d3qn
avg_all_reported_waiting_time,13.036611913714625,12.42226183402654
avg_co2_mg_per_completed_vehicle,322834.89204222476,324867.41769699473
avg_depart_delay,11.853836784409257,12.425467099918766
avg_fuel_mg_per_completed_vehicle,104257.97039179862,104914.44492079623
avg_nox_mg_per_completed_vehicle,156.4403572878603,156.74035743298182
avg_queue_length,1.1638020833333331,1.1282986111111113
avg_stop_count,0.6719447827852213,0.7948822095857027
avg_time_loss,29.699455948030856,30.146362713241267
avg_travel_time,102.22817701989443,102.66693744922827
avg_waiting_time,13.129516849370686,12.553614947197401
completed_co2_mg,1590284678.199999,1599647164.740002
completed_fuel_mg,513574762.15,516598726.7900006
completed_nox_mg,770625.1999999998,771789.5200000025
jain_fairness,0.9996009045370468,0.9981349310600142
lane_wait_std,0.2768278495955366,0.5911967600185052
p95_waiting_time,37.0,33.0
reported_trips,5053,5049
throughput,4926,4924
throughput_per_hour,2463.0,2462.0
total_co2_mg,1612977518.6499999,1621665072.8100016
total_fuel_mg,520903297.4000004,523709708.0100008
total_nox_mg,780854.2600000006,781991.7500000028
unfinished_trips,127,125
