metric,webster,d3qn
avg_all_reported_waiting_time,12.81655615832831,10.988549618320612
avg_co2_mg_per_completed_vehicle,327124.1515246908,324380.2132901507
avg_depart_delay,10.369341563786008,10.370758790869834
avg_fuel_mg_per_completed_vehicle,105638.05431687264,104749.48214065382
avg_nox_mg_per_completed_vehicle,155.88286419753044,154.09001028171937
avg_queue_length,1.1265451388888887,1.0176041666666666
avg_stop_count,0.6742798353909465,0.6991568990335184
avg_time_loss,29.842549382716044,27.76949619576393
avg_travel_time,102.61625514403292,100.5272465556241
avg_waiting_time,12.922633744855966,11.113715813283982
completed_co2_mg,1589823376.4099972,1577460977.2300026
completed_fuel_mg,513400943.98000103,509396731.64999956
completed_nox_mg,757590.719999998,749339.7200000013
jain_fairness,0.9995931456573286,0.9993717015270281
lane_wait_std,0.2786208692264483,0.3106786140712134
p95_waiting_time,37.0,31.899999999999636
reported_trips,4977,4978
throughput,4860,4863
throughput_per_hour,2430.0,2431.5
total_co2_mg,1609474183.469998,1597170838.080002
total_fuel_mg,519747857.7500007,515760050.5099997
total_nox_mg,766984.9699999975,758399.5900000009
unfinished_trips,117,115
