metric,webster,d3qn
avg_all_reported_waiting_time,13.196393182718985,11.171190806419656
avg_co2_mg_per_completed_vehicle,331560.0854002428,329172.05873831746
avg_depart_delay,14.47582283624543,15.555058919138562
avg_fuel_mg_per_completed_vehicle,107061.39349857812,106288.60656846821
avg_nox_mg_per_completed_vehicle,157.4915014221868,155.74830759853694
avg_queue_length,1.1775694444444447,1.0404166666666668
avg_stop_count,0.6722876879317351,0.7171881349045104
avg_time_loss,30.23337870784234,28.28590207232832
avg_travel_time,102.85209264526615,100.9083705810646
avg_waiting_time,13.294392523364486,11.327102803738319
completed_co2_mg,1631938740.3399951,1620184873.1099985
completed_fuel_mg,526956178.8000015,523152521.5300005
completed_nox_mg,775173.1700000034,766593.1699999988
jain_fairness,0.9978035720528174,0.9998562509537054
lane_wait_std,0.6382552669551884,0.14696613056123423
p95_waiting_time,37.0,32.0
reported_trips,5046,5047
throughput,4922,4922
throughput_per_hour,2461.0,2461.0
total_co2_mg,1655383844.1799965,1644440226.8099976
total_fuel_mg,534520768.5700016,530976477.3000005
total_nox_mg,785892.4300000033,777992.1399999987
unfinished_trips,124,125
