episode,steps,sim_seconds,total_reward,epsilon,average_loss,updates,buffer_size
1,450,7200,-6213.113043,0.987097,0.00000000,0,450
2,450,7200,-7198.596449,0.974360,0.00000000,0,900
3,450,7200,-8730.254346,0.961787,0.00000000,0,1350
4,450,7200,-5853.094285,0.949377,0.00000000,0,1800
5,450,7200,-7157.117811,0.937127,8.50364116,251,2250
6,450,7200,-6664.160290,0.925035,4.34535851,450,2700
7,450,7200,-5362.456695,0.913099,3.50315633,450,3150
8,450,7200,-7478.841934,0.901317,2.82889503,450,3600
9,450,7200,-5537.050174,0.889687,2.51969604,450,4050
10,450,7200,-5217.097488,0.878207,2.30617819,450,4500
11,450,7200,-5931.610707,0.866876,3.39234665,450,4950
12,450,7200,-5418.896317,0.855690,2.89266920,450,5400
13,450,7200,-6809.924654,0.844649,2.71961541,450,5850
14,450,7200,-4005.900245,0.833750,2.65726164,450,6300
15,450,7200,-5068.330502,0.822992,2.52483696,450,6750
16,450,7200,-5603.787986,0.812373,2.44631275,450,7200
17,450,7200,-4271.719590,0.801890,2.31158696,450,7650
18,450,7200,-4375.499551,0.791543,2.27880436,450,8100
19,450,7200,-4765.130145,0.781330,2.14973466,450,8550
20,450,7200,-5317.916650,0.771248,2.11086881,450,9000
21,450,7200,-3899.802078,0.761297,1.98901063,450,9450
22,450,7200,-5006.680512,0.751473,1.92152729,450,9900
23,450,7200,-4452.700258,0.741777,1.84934707,450,10350
24,450,7200,-3912.430214,0.732206,1.81255125,450,10800
25,450,7200,-3450.175027,0.722758,1.80814445,450,11250
26,450,7200,-4262.828893,0.713432,1.72651710,450,11700
27,450,7200,-5531.909492,0.704226,1.66677309,450,12150
28,450,7200,-4048.739594,0.695139,1.66538041,450,12600
29,450,7200,-5792.281701,0.686170,1.61322446,450,13050
30,450,7200,-3520.330968,0.677316,1.58588298,450,13500
31,450,7200,-3910.005018,0.668576,1.61805492,450,13950
32,450,7200,-4375.863084,0.659949,1.55787109,450,14400
33,450,7200,-4541.878004,0.651434,1.56400457,450,14850
34,450,7200,-3947.576369,0.643028,1.54913183,450,15300
35,450,7200,-3286.375054,0.634731,1.54522548,450,15750
36,450,7200,-5135.457181,0.626541,1.53511175,450,16200
37,450,7200,-3596.694110,0.618457,1.49283481,450,16650
38,450,7200,-4179.177966,0.610476,1.49126811,450,17100
39,450,7200,-3139.345884,0.602599,1.47672055,450,17550
40,450,7200,-3463.498201,0.594824,1.44500182,450,18000
41,450,7200,-3376.424135,0.587149,1.48857039,450,18450
42,450,7200,-3700.420285,0.579572,1.46676256,450,18900
43,450,7200,-3628.842724,0.572094,1.40084716,450,19350
44,450,7200,-3581.569204,0.564712,1.47567537,450,19800
45,450,7200,-3021.515521,0.557426,1.44759064,450,20250
46,450,7200,-3429.204187,0.550233,1.38192275,450,20700
47,450,7200,-3028.581713,0.543133,1.37914802,450,21150
48,450,7200,-3294.722589,0.536125,1.39212885,450,21600
49,450,7200,-3101.355730,0.529207,1.36722645,450,22050
50,450,7200,-3131.032276,0.522379,1.32224743,450,22500
51,450,7200,-3023.900921,0.515638,1.32625684,450,22950
52,450,7200,-2944.630476,0.508985,1.32074863,450,23400
53,450,7200,-2904.287853,0.502417,1.32112201,450,23850
54,450,7200,-2795.045621,0.495934,1.31472096,450,24300
55,450,7200,-3392.343014,0.489535,1.27248888,450,24750
56,450,7200,-3069.824709,0.483219,1.32630980,450,25200
57,450,7200,-2727.777522,0.476984,1.31335251,450,25650
