timestamp,experiment,experiment_dir,model_path,seed,avg_wait_webster,avg_wait_actuated,avg_wait_d3qn,avg_wait_improvement_pct,avg_wait_vs_actuated_pct,p95_wait_webster,p95_wait_d3qn,p95_wait_improvement_pct,avg_time_loss_webster,avg_time_loss_actuated,avg_time_loss_d3qn,avg_time_loss_improvement_pct,avg_queue_webster,avg_queue_actuated,avg_queue_d3qn,avg_queue_improvement_pct,throughput_webster,throughput_actuated,throughput_d3qn,throughput_improvement_pct,throughput_per_hour_webster,throughput_per_hour_d3qn,jain_fairness_webster,jain_fairness_d3qn,co2_per_vehicle_webster,co2_per_vehicle_d3qn,fuel_per_vehicle_webster,fuel_per_vehicle_d3qn,nox_per_vehicle_webster,nox_per_vehicle_d3qn,unfinished_webster,unfinished_d3qn
2026-06-04T17:11:21,exp_20260604_092623,runs\exp_20260604_092623,runs\exp_20260604_092623\dueling_dqn_final.pth,41,13.087180544105523,16.837324525185796,11.589859851607585,11.441125057087508,31.165668071129055,37.0,32.0,13.513513513513514,29.909068425391588,34.2070210569777,28.721551937345424,3.9704228535517028,1.150295138888889,1.2309722222222226,1.0506250000000001,8.664744857147157,4852,4844,4852,0.0,2426.0,2426.0,0.9987977111674252,0.9985772320440748,328590.11849546654,328031.11227328976,106105.85305647146,105922.32350577069,157.01371599340504,156.15613973619105,125,123
2026-06-04T17:12:24,exp_20260604_101031,runs\exp_20260604_101031,runs\exp_20260604_101031\dueling_dqn_final.pth,42,13.092596369569652,16.78136493665713,11.304853181076671,13.654611644853928,32.63448340615962,37.0,32.0,13.513513513513514,29.952712624923514,34.04059664895791,28.324622756933117,5.435533964411861,1.1641493055555556,1.2621875,1.04453125,10.275147267168755,4903,4894,4904,0.020395676116663267,2451.5,2452.0,0.9994144025568992,0.9988688231732706,329227.372904344,328101.4582177816,106311.66282480094,105945.14878466561,157.2979033244956,156.2931729200649,133,133
2026-06-04T17:14:53,exp_20260604_105038,runs\exp_20260604_105038,runs\exp_20260604_105038\dueling_dqn_final.pth,43,13.400041135335252,16.917765869744436,11.771705506289956,12.15172112234383,30.418084770032443,37.0,32.0,13.513513513513514,30.31908679555739,34.58084295136026,29.166982883068677,3.7999294644241353,1.1740798611111112,1.249861111111111,1.0739062499999998,8.532095169089288,4862,4852,4849,-0.267379679144385,2431.0,2424.5,0.9984601253636071,0.9994265203915113,338291.9676964212,337754.3941183746,109216.93570547106,109041.84799546307,162.09405183052246,161.21719117343818,134,144
2026-06-04T17:15:26,exp_20260604_112825,runs\exp_20260604_112825,runs\exp_20260604_112825\dueling_dqn_final.pth,44,13.294392523364486,16.973170731707317,11.675807434491164,12.174945835461898,31.210216293413172,37.0,32.0,13.513513513513514,30.23337870784234,34.57702235772357,28.816920576884016,4.685080502070731,1.1775694444444447,1.2473090277777779,1.0664930555555556,9.432682667924762,4922,4920,4923,0.02031694433157253,2461.0,2461.5,0.9978035720528174,0.9969692375894457,331560.0854002428,330686.5612329871,107061.39349857812,106777.23567946377,157.4915014221868,156.08404834450545,124,123
2026-06-04T17:15:53,exp_20260604_120538,runs\exp_20260604_120538,runs\exp_20260604_120538\dueling_dqn_final.pth,45,12.922633744855966,16.034226804123712,11.109763617677286,14.028642790408869,30.712196145185764,37.0,32.0,13.513513513513514,29.842549382716044,33.2467381443299,27.94032887975334,6.374189009684321,1.1265451388888887,1.2226909722222223,1.0141145833333334,9.980119897054955,4860,4850,4865,0.102880658436214,2430.0,2432.5,0.9995931456573286,0.999550770253241,327124.1515246908,324331.8204275432,105638.05431687264,104734.47950462493,155.88286419753044,153.9435395683452,117,114
2026-06-04T17:16:20,exp_20260604_124454,runs\exp_20260604_124454,runs\exp_20260604_124454\dueling_dqn_final.pth,46,13.129516849370686,16.75212981744422,11.382555780933062,13.305600567635192,32.0530827723156,37.0,32.0,13.513513513513514,29.699455948030856,34.114630831643005,28.163533468559837,5.17155089358751,1.1638020833333331,1.2606944444444443,1.042951388888889,10.384127694487924,4926,4930,4930,0.08120178643930166,2463.0,2465.0,0.9996009045370468,0.9984261391075541,322834.89204222476,321822.0570628799,104257.97039179862,103928.2626105476,156.4403572878603,155.4033448275858,127,124
2026-06-04T22:16:09,exp_20260604_175023,runs\exp_20260604_175023,runs\exp_20260604_175023\dueling_dqn_final.pth,47,13.339899497487437,16.154357013483597,11.008244520410216,17.47880467552538,31.855879431029432,37.0,31.0,16.216216216216218,30.169171859296483,33.58953713020728,27.83901266840941,7.723643200265857,1.1982118055555555,1.2310243055555554,1.033888888888889,13.714012489676437,4975,4969,4973,-0.04020100502512563,2487.5,2486.5,0.9986361987559947,0.9991222284276419,332820.36158592947,329472.9392298419,107466.92681809071,106381.04776191428,159.1211095477388,156.8561813794487,123,125
2026-06-04T22:16:36,exp_20260604_183807,runs\exp_20260604_183807,runs\exp_20260604_183807\dueling_dqn_final.pth,48,13.332781799379525,16.78442741768482,12.418200620475698,6.859642591213705,26.013558214137657,37.0,33.0,10.81081081081081,30.216291623578073,34.256699109546496,29.91945398138573,0.9823761495627028,1.1602604166666666,1.2319444444444445,1.092517361111111,5.838607831694876,4835,4829,4835,0.0,2417.5,2417.5,0.9998215311068872,0.9980778584609038,337699.83988004207,338882.47537745634,109028.61179317496,109408.32408893507,160.97723888314363,160.79859979317482,122,120
2026-06-04T22:17:05,exp_20260604_192741,runs\exp_20260604_192741,runs\exp_20260604_192741\dueling_dqn_final.pth,49,13.071952710966164,15.804654011022658,11.115455100794136,14.9671411259827,29.669734667763866,37.0,32.0,13.513513513513514,29.668120668569095,32.99518064911206,27.98227244960293,5.682355946300907,1.1665972222222223,1.2313368055555556,1.0278298611111112,11.895053276980772,4906,4899,4911,0.10191602119853241,2453.0,2455.5,0.9968426647070573,0.9995869691279303,329503.4034467986,328140.7614335164,106401.87683448858,105957.69515170023,156.2568344883821,154.88102423131758,133,128
2026-06-04T22:17:33,exp_20260604_201710,runs\exp_20260604_201710,runs\exp_20260604_201710\dueling_dqn_final.pth,50,13.125077017868145,16.59732510288066,11.333196384552178,13.652343760547438,31.71672956755442,37.0,32.0,13.513513513513514,30.130254672417337,34.01005349794239,28.257495891536564,6.215542487913933,1.1535243055555555,1.2345659722222222,1.0366319444444445,10.133497885405527,4869,4860,4868,-0.020538098172109262,2434.5,2434.0,0.9986454055104276,0.998984626316584,332037.74312795175,329236.06081347686,107212.1369829531,106305.36816762507,157.96631135756834,156.17513557929388,121,120
