scenario,seed,controller,avg_wait,p95_wait,avg_time_loss,avg_queue,throughput,jain_fairness,switch_rate
symmetric,101,webster,13.134379400523034,37.0,29.953641118487223,1.1730902777777779,4971,0.9985827492910283,
symmetric,101,actuated,16.50040322580645,50.05000000000018,33.962560483870966,1.2614930555555555,4960,0.9993295901127354,
symmetric,101,d3qn,11.79331857516603,32.0,28.77489836989334,1.0940104166666667,4969,0.9993094459669964,
symmetric,102,webster,13.251532488761748,37.0,30.051040049039642,1.1633159722222222,4894,0.9982642239801747,
symmetric,102,actuated,15.92486729277256,50.0,33.393360555328705,1.225017361111111,4898,0.9944408054805007,
symmetric,102,d3qn,11.133768352365417,32.0,27.970762642740624,1.0185590277777778,4904,0.9996284716152325,
symmetric,103,webster,12.874117158288326,37.0,29.589864977149976,1.1241493055555556,4814,0.9989486427331933,
symmetric,103,actuated,16.33915211970075,52.44999999999982,33.7201433915212,1.2078819444444446,4812,0.9989930925348569,
symmetric,103,d3qn,11.264303482587065,32.0,28.1774087893864,1.0178993055555556,4824,0.9998293091632161,
symmetric,104,webster,13.125743589743589,38.0,29.801862564102567,1.1586631944444443,4875,0.9982410757687085,
symmetric,104,actuated,15.755902278792856,50.0,33.14135495791419,1.1975694444444447,4871,0.9997211001348458,
symmetric,104,d3qn,11.337840606433108,31.0,28.178498258553574,1.036701388888889,4881,0.9993990099474998,
symmetric,105,webster,13.349147668925857,37.0,30.31164304785377,1.1664756944444443,4869,0.9996609473938057,
symmetric,105,actuated,16.32323232323232,50.5,33.876219336219336,1.2287673611111112,4851,0.9988026664655327,
symmetric,105,d3qn,11.439400164338537,32.0,28.292271980279374,1.0382291666666665,4868,0.9994697222887238,
asymmetric,101,webster,13.036445012787723,37.0,29.001234015345265,1.0991145833333333,4692,0.9914601982717307,
asymmetric,101,actuated,7.6826474331777685,25.0,21.735591854051762,0.6872569444444443,4714,0.8784662418904053,
asymmetric,101,d3qn,13.727465986394558,34.0,31.46531462585034,1.145607638888889,4704,0.9253565908321393,
asymmetric,102,webster,13.017201104268421,38.0,29.001473773624973,1.099670138888889,4709,0.993074651577427,
asymmetric,102,actuated,8.006342494714588,28.0,22.284968287526425,0.7199652777777777,4730,0.8985470011279971,
asymmetric,102,d3qn,12.43956043956044,33.0,29.465653000845315,1.0640625,4732,0.9606015837379708,
asymmetric,103,webster,13.144711640774632,38.0,29.298846563098532,1.111388888888889,4699,0.985187554573891,
asymmetric,103,actuated,8.036039855840576,28.0,22.362662709349163,0.7255381944444446,4717,0.8907325789620097,
asymmetric,103,d3qn,13.523021430086994,33.0,31.459028219817526,1.1536979166666668,4713,0.9338911704238069,
asymmetric,104,webster,13.216457580267914,37.0,29.296770146714866,1.1197395833333332,4703,0.9921829501006189,
asymmetric,104,actuated,7.835902851108765,26.0,22.174276663146777,0.703125,4735,0.9006489805547475,
asymmetric,104,d3qn,14.58206106870229,34.0,32.59746183206107,1.2299479166666667,4716,0.9202311447468291,
asymmetric,105,webster,13.572967265047518,38.0,29.740111932418163,1.151267361111111,4735,0.9886714047559626,
asymmetric,105,actuated,8.15198145025295,29.0,22.63592959527825,0.7312326388888888,4744,0.9096704462932119,
asymmetric,105,d3qn,13.398611695414388,34.0,31.079730753050065,1.1512499999999999,4754,0.9505766658297888,
incident,101,webster,13.170187085093543,37.0,30.085870046268358,1.1718576388888888,4971,0.9989366920618685,
incident,101,actuated,16.56423681031011,51.0,34.162952074103906,1.2318923611111112,4966,0.9957934262199399,
incident,101,d3qn,11.52648539778449,32.0,28.492437059415913,1.07984375,4965,0.999372052210259,
incident,102,webster,13.220204081632653,37.0,30.119183673469387,1.1717534722222223,4900,0.9994887103951552,
incident,102,actuated,16.260753789430563,51.0,33.57124129455141,1.2414062499999998,4882,0.9998544304054672,
incident,102,d3qn,11.247042023663811,32.0,28.005226438188494,1.0411631944444446,4902,0.9995925160308514,
incident,103,webster,13.228553667633651,37.0,30.14375466224617,1.1513194444444446,4826,0.9980199516135924,
incident,103,actuated,15.770604110442184,50.0,33.02966784305585,1.2028993055555555,4817,0.9992005124137221,
incident,103,d3qn,11.54615225057042,32.0,28.673947313835306,1.0396354166666666,4821,0.9955721232930385,
incident,104,webster,13.12171592775041,37.0,29.940652709359608,1.1580381944444444,4872,0.9990998930165513,
incident,104,actuated,16.317668787194748,52.0,33.5270121075313,1.2216840277777778,4873,0.9995396200433814,
incident,104,d3qn,11.37343717974995,32.0,28.24327321172371,1.0394965277777777,4879,0.9989770534432407,
incident,105,webster,13.328263103802673,37.0,30.214781089414185,1.1653645833333333,4865,0.9998338493601341,
incident,105,actuated,16.828160328879754,54.0,34.4659403905447,1.2409722222222221,4865,0.9995612598675081,
incident,105,d3qn,11.568023016851624,32.0,28.664510891902996,1.0507465277777779,4866,0.9968737881305111,
high_demand,101,webster,13.276659959758552,37.0,30.077523474178406,1.4059375,5964,0.9988876779524997,
high_demand,101,actuated,17.480416876786016,55.0,35.176313666162386,1.4685069444444445,5949,0.9994901470830555,
high_demand,101,d3qn,11.0607892527288,31.0,27.80493366918556,1.2386805555555556,5955,0.9998693957461748,
high_demand,102,webster,13.135203650498564,37.0,30.091708636133173,1.3922222222222222,5917,0.9997415102245275,
high_demand,102,actuated,17.39406708242036,55.0,35.03118658351593,1.4658333333333335,5933,0.9995569953103307,
high_demand,102,d3qn,11.067310952865379,32.0,27.73746693794507,1.2247569444444444,5898,0.9984779439023029,
high_demand,103,webster,13.214718760525429,37.0,30.276103065005053,1.3892361111111111,5938,0.9990217811763181,
high_demand,103,actuated,17.693939393939395,55.0,35.50155723905724,1.4868402777777778,5940,0.9986766432581299,
high_demand,103,d3qn,11.049318296583067,32.0,27.762413735061436,1.2184027777777777,5941,0.9987881955275146,
high_demand,104,webster,13.209263299211276,37.0,30.145507635509315,1.4034722222222222,5959,0.9996471020509975,
high_demand,104,actuated,16.64809828340626,53.0,34.17440087512622,1.4234201388888887,5942,0.9998327408124728,
high_demand,104,d3qn,11.099479079146361,32.0,27.794251386321626,1.2314756944444443,5951,0.9998451564917019,
high_demand,105,webster,13.240278485311597,37.0,30.169420954321616,1.3849479166666665,5889,0.998455516977574,
high_demand,105,actuated,17.19090446292211,55.0,34.8814966909893,1.47515625,5893,0.9996190935431903,
high_demand,105,d3qn,10.82740514905149,32.0,27.57617886178862,1.190121527777778,5904,0.9990539670421835,
low_demand,101,webster,12.034641068447412,37.0,25.425696994991654,0.5355034722222223,2396,0.9963007466206134,
low_demand,101,actuated,7.6379166666666665,24.0,20.646729166666667,0.34369791666666666,2400,0.9945329191812913,
low_demand,101,d3qn,10.079849498327759,33.0,23.578804347826086,0.45256944444444447,2392,0.9942552513162332,
low_demand,102,webster,11.633305298570226,37.0,24.924339781328847,0.5150347222222222,2378,0.999230842040825,
