episode,steps,sim_seconds,total_reward,epsilon,average_loss,updates,buffer_size
1,450,7200,-6454.661131,0.987097,0.00000000,0,450
2,450,7200,-6978.659306,0.974360,0.00000000,0,900
3,450,7200,-6741.904868,0.961787,0.00000000,0,1350
4,450,7200,-5899.145026,0.949377,0.00000000,0,1800
5,450,7200,-7257.531642,0.937127,8.18306177,251,2250
6,450,7200,-7233.696997,0.925035,3.91389214,450,2700
7,450,7200,-7007.359560,0.913099,3.24604056,450,3150
8,450,7200,-5056.758657,0.901317,2.51426709,450,3600
9,450,7200,-6107.346292,0.889687,2.12627223,450,4050
10,450,7200,-9083.360889,0.878207,2.10311956,450,4500
11,450,7200,-6925.549657,0.866876,3.08618537,450,4950
12,450,7200,-5128.061378,0.855690,2.67209439,450,5400
13,450,7200,-5829.803115,0.844649,2.49836974,450,5850
14,450,7200,-4386.461762,0.833750,2.37888587,450,6300
15,450,7200,-4967.782233,0.822992,2.34800310,450,6750
16,450,7200,-5099.929769,0.812373,2.28221802,450,7200
17,450,7200,-4956.210979,0.801890,2.21280337,450,7650
18,450,7200,-4602.640584,0.791543,2.09778523,450,8100
19,450,7200,-5437.987347,0.781330,2.08578158,450,8550
20,450,7200,-4133.249356,0.771248,2.08743599,450,9000
21,450,7200,-4876.461546,0.761297,2.09492676,450,9450
22,450,7200,-3822.698870,0.751473,2.04561907,450,9900
23,450,7200,-3484.396793,0.741777,2.04262337,450,10350
24,450,7200,-4399.805213,0.732206,1.94883702,450,10800
25,450,7200,-3785.627973,0.722758,2.05484268,450,11250
26,450,7200,-3737.650567,0.713432,1.99250110,450,11700
27,450,7200,-4272.934575,0.704226,1.92197558,450,12150
28,450,7200,-4073.306006,0.695139,1.88020636,450,12600
29,450,7200,-3109.324655,0.686170,1.89860649,450,13050
30,450,7200,-4007.898936,0.677316,1.87588813,450,13500
31,450,7200,-3857.122605,0.668576,1.84741560,450,13950
32,450,7200,-3443.889348,0.659949,1.83093467,450,14400
33,450,7200,-3685.652761,0.651434,1.81485936,450,14850
34,450,7200,-3684.147117,0.643028,1.72478432,450,15300
35,450,7200,-3310.425353,0.634731,1.69019962,450,15750
36,450,7200,-3157.235257,0.626541,1.70898886,450,16200
37,450,7200,-3600.670342,0.618457,1.63405099,450,16650
38,450,7200,-3871.636409,0.610476,1.60091717,450,17100
39,450,7200,-4221.989932,0.602599,1.62852341,450,17550
40,450,7200,-3101.476362,0.594824,1.58008700,450,18000
41,450,7200,-3071.893142,0.587149,1.61670312,450,18450
42,450,7200,-3184.164577,0.579572,1.61690953,450,18900
43,450,7200,-3643.749130,0.572094,1.60709140,450,19350
