metric,webster,d3qn
avg_all_reported_waiting_time,13.280824659727783,11.14994994994995
avg_co2_mg_per_completed_vehicle,338291.9676964212,335565.5084963025
avg_depart_delay,12.87433155080214,12.555053410024652
avg_fuel_mg_per_completed_vehicle,109216.93570547106,108334.40543344294
avg_nox_mg_per_completed_vehicle,162.09405183052246,160.35396672144563
avg_queue_length,1.1740798611111112,1.0314756944444445
avg_stop_count,0.6727684080625257,0.7161051766639277
avg_time_loss,30.31908679555739,28.319550123253904
avg_travel_time,102.86774989716166,100.87058340180772
avg_waiting_time,13.400041135335252,11.305875102711585
completed_co2_mg,1644775546.9399998,1633532895.3600004
completed_fuel_mg,531012741.4000003,527371885.6500002
completed_nox_mg,788101.2800000001,780603.1099999973
jain_fairness,0.9984601253636071,0.9981727323524549
lane_wait_std,0.5600883520400051,0.5533497372488408
p95_waiting_time,37.0,32.0
reported_trips,4996,4995
throughput,4862,4868
throughput_per_hour,2431.0,2434.0
total_co2_mg,1667860251.5400004,1653753203.0900004
total_fuel_mg,538467358.6000003,533902584.23000056
total_nox_mg,798884.7100000002,789891.999999997
unfinished_trips,134,127
