episode,steps,sim_seconds,total_reward,epsilon,average_loss,updates,buffer_size
1,450,7200,-8062.005646,0.987097,0.00000000,0,450
2,450,7200,-4631.830881,0.974360,0.00000000,0,900
3,450,7200,-4845.131470,0.961787,0.00000000,0,1350
4,450,7200,-10041.322128,0.949377,0.00000000,0,1800
5,450,7200,-9856.529955,0.937127,8.99267068,251,2250
6,450,7200,-4709.570925,0.925035,4.79070204,450,2700
7,450,7200,-4507.635083,0.913099,3.48096657,450,3150
8,450,7200,-4784.549372,0.901317,2.76605579,450,3600
9,450,7200,-7246.707439,0.889687,2.37986587,450,4050
10,450,7200,-6967.154974,0.878207,2.31104172,450,4500
11,450,7200,-5865.923428,0.866876,3.42112007,450,4950
12,450,7200,-4311.936096,0.855690,2.93014806,450,5400
13,450,7200,-4675.865513,0.844649,2.75764172,450,5850
14,450,7200,-6840.293778,0.833750,2.59517143,450,6300
15,450,7200,-6982.047678,0.822992,2.57915832,450,6750
16,450,7200,-4671.750385,0.812373,2.55864237,450,7200
17,450,7200,-5240.057714,0.801890,2.45291150,450,7650
18,450,7200,-4944.181616,0.791543,2.38024704,450,8100
19,450,7200,-4748.830486,0.781330,2.30837588,450,8550
20,450,7200,-4435.715130,0.771248,2.32903197,450,9000
21,450,7200,-4005.425554,0.761297,2.07539798,450,9450
22,450,7200,-3287.325260,0.751473,2.01023423,450,9900
23,450,7200,-3826.834288,0.741777,1.96870830,450,10350
24,450,7200,-4009.398224,0.732206,2.00929841,450,10800
25,450,7200,-5580.624368,0.722758,1.96640440,450,11250
26,450,7200,-5009.191977,0.713432,1.90891199,450,11700
27,450,7200,-4074.878056,0.704226,1.82394188,450,12150
28,450,7200,-3925.944634,0.695139,1.88661587,450,12600
29,450,7200,-5176.808487,0.686170,1.84015634,450,13050
30,450,7200,-3843.439487,0.677316,1.83817727,450,13500
31,450,7200,-3809.268652,0.668576,1.70516974,450,13950
32,450,7200,-3821.205065,0.659949,1.67620127,450,14400
33,450,7200,-3437.180806,0.651434,1.63678039,450,14850
34,450,7200,-3409.571712,0.643028,1.62516279,450,15300
35,450,7200,-2957.038086,0.634731,1.55858181,450,15750
36,450,7200,-3247.293315,0.626541,1.61511043,450,16200
37,450,7200,-3534.141717,0.618457,1.55985133,450,16650
38,450,7200,-3467.265580,0.610476,1.55420745,450,17100
39,450,7200,-3368.795024,0.602599,1.56020282,450,17550
40,450,7200,-3305.979442,0.594824,1.51850947,450,18000
41,450,7200,-2922.073175,0.587149,1.45741263,450,18450
42,450,7200,-3031.991950,0.579572,1.48129784,450,18900
43,450,7200,-3161.288201,0.572094,1.47788851,450,19350
44,450,7200,-2988.769900,0.564712,1.45768055,450,19800
45,450,7200,-2983.711326,0.557426,1.39830219,450,20250
46,450,7200,-2953.918576,0.550233,1.39731365,450,20700
47,450,7200,-3192.520684,0.543133,1.37798544,450,21150
48,450,7200,-3269.357523,0.536125,1.35110332,450,21600
49,450,7200,-3146.529951,0.529207,1.33742295,450,22050
50,450,7200,-2801.558220,0.522379,1.28447907,450,22500
51,450,7200,-2806.562774,0.515638,1.32601581,450,22950
52,450,7200,-3392.373142,0.508985,1.33279645,450,23400
53,450,7200,-2925.856884,0.502417,1.32763214,450,23850
54,450,7200,-3217.046256,0.495934,1.29138133,450,24300
55,450,7200,-2878.894573,0.489535,1.30876385,450,24750
56,450,7200,-2999.476662,0.483219,1.26551910,450,25200
57,450,7200,-2743.123604,0.476984,1.28168331,450,25650
58,450,7200,-2774.075418,0.470829,1.27636124,450,26100
59,450,7200,-2872.066224,0.464754,1.27145379,450,26550
60,450,7200,-2860.678536,0.458757,1.25953649,450,27000
61,450,7200,-2659.509816,0.452837,1.26623480,450,27450
62,450,7200,-3348.633468,0.446994,1.21599051,450,27900
63,450,7200,-2745.322409,0.441227,1.22451985,450,28350
64,450,7200,-2950.487643,0.435533,1.17126379,450,28800
65,450,7200,-2429.046778,0.429913,1.20144428,450,29250
66,450,7200,-2763.221294,0.424366,1.26104928,450,29700
67,450,7200,-2674.289072,0.418890,1.21245600,450,30150
68,450,7200,-3254.936871,0.413485,1.22957183,450,30600
69,450,7200,-2505.931026,0.408150,1.24005731,450,31050
70,450,7200,-2753.008947,0.402884,1.22492993,450,31500
71,450,7200,-2411.735058,0.397685,1.16227755,450,31950
72,450,7200,-2699.702011,0.392554,1.21349687,450,32400
73,450,7200,-2525.511631,0.387488,1.18694556,450,32850
74,450,7200,-2566.304927,0.382489,1.17697239,450,33300
75,450,7200,-2761.414594,0.377553,1.17433643,450,33750
76,450,7200,-2639.561962,0.372681,1.13976105,450,34200
77,450,7200,-2755.024358,0.367873,1.13817213,450,34650
78,450,7200,-2624.641856,0.363126,1.14293180,450,35100
79,450,7200,-2752.648888,0.358440,1.13259632,450,35550
80,450,7200,-2662.277083,0.353815,1.09600258,450,36000
81,450,7200,-2545.844092,0.349250,1.14565578,450,36450
82,450,7200,-2678.576189,0.344743,1.09569564,450,36900
83,450,7200,-2743.422793,0.340295,1.11647761,450,37350
84,450,7200,-2644.499837,0.335904,1.12606576,450,37800
85,450,7200,-2687.527926,0.331570,1.09112120,450,38250
86,450,7200,-2502.083214,0.327292,1.10867143,450,38700
87,450,7200,-2602.152846,0.323069,1.08708832,450,39150
88,450,7200,-2498.331304,0.318900,1.05913255,450,39600
89,450,7200,-2671.183734,0.314785,1.09683813,450,40050
90,450,7200,-2417.304866,0.310723,1.08538409,450,40500
91,450,7200,-2565.452146,0.306714,1.02547752,450,40950
92,450,7200,-2483.440636,0.302756,1.04603620,450,41400
93,450,7200,-2339.033389,0.298850,1.06865929,450,41850
94,450,7200,-2632.216179,0.294994,1.01918341,450,42300
95,450,7200,-2495.955136,0.291187,1.05166617,450,42750
96,450,7200,-2548.120373,0.287430,1.03638664,450,43200
97,450,7200,-2602.689246,0.283721,1.00727319,450,43650
98,450,7200,-2329.160847,0.280060,1.02905617,450,44100
99,450,7200,-2283.004588,0.276447,1.01445860,450,44550
100,450,7200,-2307.402497,0.272879,1.03371301,450,45000
101,450,7200,-2806.608412,0.269358,1.02104748,450,45450
102,450,7200,-2599.969531,0.265883,1.01775462,450,45900
103,450,7200,-2445.747282,0.262452,0.98774311,450,46350
104,450,7200,-2582.054194,0.259066,0.98727275,450,46800
105,450,7200,-2550.838261,0.255723,0.95737949,450,47250
106,450,7200,-2531.481792,0.252423,1.02750942,450,47700
107,450,7200,-2389.800199,0.249166,0.97790321,450,48150
108,450,7200,-2408.551093,0.245951,0.96706210,450,48600
109,450,7200,-2414.247872,0.242777,0.97669937,450,49050
110,450,7200,-2420.744864,0.239645,0.98788891,450,49500
111,450,7200,-2454.375803,0.236553,0.93809428,450,49950
112,450,7200,-2440.290877,0.233500,0.92520957,450,50400
113,450,7200,-2325.178142,0.230487,0.93938299,450,50850
114,450,7200,-2273.446348,0.227513,0.89557599,450,51300
115,450,7200,-2286.562531,0.224578,0.91850384,450,51750
116,450,7200,-2231.894337,0.221680,0.88163646,450,52200
117,450,7200,-2244.228288,0.218819,0.87591011,450,52650
118,450,7200,-2143.499089,0.215996,0.91331239,450,53100
119,450,7200,-2524.485992,0.213209,0.84002005,450,53550
120,450,7200,-2318.782568,0.210458,0.88926806,450,54000
121,450,7200,-2427.281927,0.207742,0.86269012,450,54450
122,450,7200,-2033.536294,0.205062,0.87023468,450,54900
123,450,7200,-2203.247133,0.202416,0.88166262,450,55350
124,450,7200,-2219.641021,0.199804,0.84574727,450,55800
125,450,7200,-2032.440110,0.197226,0.86537237,450,56250
126,450,7200,-2143.381524,0.194681,0.89326435,450,56700
127,450,7200,-2623.946109,0.192169,0.88030283,450,57150
128,450,7200,-2711.912707,0.189689,0.85631823,450,57600
129,450,7200,-2186.571081,0.187242,0.86251710,450,58050
130,450,7200,-2334.221995,0.184826,0.89763094,450,58500
131,450,7200,-2250.106716,0.182441,0.82449779,450,58950
132,450,7200,-2219.984273,0.180087,0.83765751,450,59400
133,450,7200,-2244.395268,0.177763,0.86900553,450,59850
134,450,7200,-2382.832329,0.175469,0.86488976,450,60300
135,450,7200,-2029.090716,0.173205,0.84469061,450,60750
136,450,7200,-2036.079165,0.170970,0.84752207,450,61200
137,450,7200,-2327.313962,0.168764,0.82818414,450,61650
138,450,7200,-2226.589069,0.166586,0.81743396,450,62100
139,450,7200,-2334.632168,0.164437,0.79988935,450,62550
140,450,7200,-1993.102534,0.162315,0.82170761,450,63000
141,450,7200,-2197.395520,0.160221,0.76808467,450,63450
142,450,7200,-2063.939266,0.158153,0.82171159,450,63900
143,450,7200,-2093.640826,0.156113,0.80680173,450,64350
144,450,7200,-2053.870594,0.154098,0.80087659,450,64800
145,450,7200,-1951.987431,0.152110,0.78452382,450,65250
146,450,7200,-2188.292116,0.150147,0.81121486,450,65700
147,450,7200,-2030.893517,0.148210,0.80180682,450,66150
148,450,7200,-2051.014772,0.146297,0.77964115,450,66600
149,450,7200,-1983.137042,0.144410,0.78468803,450,67050
150,450,7200,-1985.890493,0.142546,0.77838666,450,67500
151,450,7200,-2144.623738,0.140707,0.81698484,450,67950
152,450,7200,-2051.285275,0.138892,0.81881693,450,68400
153,450,7200,-2160.965888,0.137099,0.80208673,450,68850
154,450,7200,-2263.194880,0.135330,0.78064777,450,69300
155,450,7200,-2047.286041,0.133584,0.80961588,450,69750
156,450,7200,-2057.221313,0.131860,0.84642950,450,70200
157,450,7200,-1949.641360,0.130159,0.80240140,450,70650
158,450,7200,-2004.376599,0.128480,0.80185703,450,71100
159,450,7200,-2169.533312,0.126822,0.79605706,450,71550
160,450,7200,-1918.910748,0.125185,0.77301034,450,72000
