episode,steps,sim_seconds,total_reward,epsilon,average_loss,updates,buffer_size
1,450,7200,-8071.936809,0.987097,0.00000000,0,450
2,450,7200,-8072.243879,0.974360,0.00000000,0,900
3,450,7200,-7902.424914,0.961787,0.00000000,0,1350
4,450,7200,-7021.914004,0.949377,0.00000000,0,1800
5,450,7200,-6125.492928,0.937127,9.61981460,251,2250
6,450,7200,-6719.694223,0.925035,4.78077149,450,2700
7,450,7200,-8624.838409,0.913099,3.52797429,450,3150
8,450,7200,-6030.352613,0.901317,2.89060823,450,3600
9,450,7200,-5652.876823,0.889687,2.55953308,450,4050
10,450,7200,-4939.885890,0.878207,2.39720605,450,4500
11,450,7200,-5685.353260,0.866876,3.50638744,450,4950
12,450,7200,-5656.878557,0.855690,3.11785768,450,5400
13,450,7200,-5442.865586,0.844649,2.86283846,450,5850
14,450,7200,-7709.880342,0.833750,2.89863224,450,6300
15,450,7200,-4073.352308,0.822992,2.76420433,450,6750
16,450,7200,-4884.154627,0.812373,2.79294899,450,7200
17,450,7200,-4499.486019,0.801890,2.61615970,450,7650
18,450,7200,-4046.966186,0.791543,2.62304275,450,8100
19,450,7200,-3512.490581,0.781330,2.52445070,450,8550
20,450,7200,-4703.771613,0.771248,2.48246495,450,9000
21,450,7200,-5690.714867,0.761297,2.33467282,450,9450
22,450,7200,-4834.614268,0.751473,2.25012197,450,9900
23,450,7200,-6614.990731,0.741777,2.26274099,450,10350
24,450,7200,-4165.635325,0.732206,2.25162454,450,10800
25,450,7200,-3605.291992,0.722758,2.23367199,450,11250
26,450,7200,-4070.918777,0.713432,2.16181571,450,11700
27,450,7200,-3769.926066,0.704226,2.08751789,450,12150
28,450,7200,-4046.113878,0.695139,2.04703406,450,12600
29,450,7200,-3703.821307,0.686170,2.01342502,450,13050
30,450,7200,-4211.601560,0.677316,1.99097582,450,13500
31,450,7200,-3578.916061,0.668576,1.98058204,450,13950
32,450,7200,-3756.781748,0.659949,1.90221211,450,14400
33,450,7200,-3674.621949,0.651434,1.88501977,450,14850
34,450,7200,-4611.041161,0.643028,1.87723404,450,15300
35,450,7200,-3250.196087,0.634731,1.85643045,450,15750
36,450,7200,-3152.931073,0.626541,1.79484721,450,16200
37,450,7200,-4119.860267,0.618457,1.75310844,450,16650
38,450,7200,-3847.908173,0.610476,1.71154579,450,17100
39,450,7200,-3363.803816,0.602599,1.64734064,450,17550
40,450,7200,-3084.309974,0.594824,1.65933383,450,18000
41,450,7200,-3273.437034,0.587149,1.62147177,450,18450
42,450,7200,-3400.124922,0.579572,1.64831985,450,18900
43,450,7200,-3223.800979,0.572094,1.62416007,450,19350
44,450,7200,-3273.540970,0.564712,1.54893961,450,19800
45,450,7200,-3429.938516,0.557426,1.57359312,450,20250
46,450,7200,-3373.702364,0.550233,1.56005749,450,20700
47,450,7200,-3590.295485,0.543133,1.55510270,450,21150
48,450,7200,-3080.512470,0.536125,1.54562105,450,21600
49,450,7200,-3046.193923,0.529207,1.57925185,450,22050
50,450,7200,-3796.514437,0.522379,1.54055869,450,22500
51,450,7200,-3435.263802,0.515638,1.60050280,450,22950
52,450,7200,-2921.332451,0.508985,1.56201841,450,23400
53,450,7200,-2845.154254,0.502417,1.55834938,450,23850
54,450,7200,-2901.256237,0.495934,1.56110187,450,24300
55,450,7200,-3196.129310,0.489535,1.49655401,450,24750
56,450,7200,-2817.668302,0.483219,1.45457265,450,25200
57,450,7200,-2738.946024,0.476984,1.45352250,450,25650
58,450,7200,-3085.684130,0.470829,1.42243698,450,26100
59,450,7200,-2773.864579,0.464754,1.36736583,450,26550
60,450,7200,-3294.591585,0.458757,1.41806253,450,27000
61,450,7200,-2801.208618,0.452837,1.31936755,450,27450
62,450,7200,-2847.705661,0.446994,1.29165026,450,27900
63,450,7200,-2859.233058,0.441227,1.26080737,450,28350
64,450,7200,-2934.237454,0.435533,1.29556411,450,28800
65,450,7200,-3230.946591,0.429913,1.25131321,450,29250
66,450,7200,-2686.745171,0.424366,1.26255586,450,29700
67,450,7200,-2542.963481,0.418890,1.24020638,450,30150
68,450,7200,-2921.912025,0.413485,1.23952210,450,30600
69,450,7200,-2493.702848,0.408150,1.21255992,450,31050
70,450,7200,-2719.578265,0.402884,1.21171584,450,31500
71,450,7200,-2711.771225,0.397685,1.28239964,450,31950
72,450,7200,-2774.292489,0.392554,1.25895851,450,32400
73,450,7200,-2617.993118,0.387488,1.25509041,450,32850
74,450,7200,-2534.545857,0.382489,1.22415886,450,33300
75,450,7200,-2553.223521,0.377553,1.22844904,450,33750
76,450,7200,-2353.963399,0.372681,1.20971203,450,34200
77,450,7200,-2920.083124,0.367873,1.18539347,450,34650
78,450,7200,-2415.218622,0.363126,1.18366549,450,35100
79,450,7200,-2878.985856,0.358440,1.19909720,450,35550
80,450,7200,-2784.102367,0.353815,1.15298036,450,36000
81,450,7200,-2630.203829,0.349250,1.14835145,450,36450
82,450,7200,-2610.416217,0.344743,1.14726739,450,36900
83,450,7200,-2665.183256,0.340295,1.11733856,450,37350
84,450,7200,-2605.978259,0.335904,1.10832470,450,37800
85,450,7200,-2332.956817,0.331570,1.08965397,450,38250
86,450,7200,-2312.055971,0.327292,1.11385010,450,38700
87,450,7200,-2472.014171,0.323069,1.09845549,450,39150
88,450,7200,-2451.439588,0.318900,1.10039340,450,39600
89,450,7200,-2503.041747,0.314785,1.07426591,450,40050
90,450,7200,-2646.360425,0.310723,1.08251566,450,40500
91,450,7200,-2311.860038,0.306714,1.10902919,450,40950
92,450,7200,-2544.924321,0.302756,1.11713692,450,41400
93,450,7200,-2550.113013,0.298850,1.11310823,450,41850
94,450,7200,-2334.896629,0.294994,1.09128037,450,42300
95,450,7200,-2566.989873,0.291187,1.06763286,450,42750
96,450,7200,-2539.353306,0.287430,1.11515738,450,43200
97,450,7200,-2575.782285,0.283721,1.06417359,450,43650
98,450,7200,-2362.613700,0.280060,1.09934284,450,44100
99,450,7200,-2433.729248,0.276447,1.07774201,450,44550
100,450,7200,-2752.964357,0.272879,1.08313877,450,45000
101,450,7200,-2554.067857,0.269358,1.04155792,450,45450
102,450,7200,-2360.657657,0.265883,1.03953441,450,45900
103,450,7200,-2704.097484,0.262452,1.03387648,450,46350
104,450,7200,-2265.301315,0.259066,1.00855810,450,46800
105,450,7200,-2697.942334,0.255723,1.01340941,450,47250
106,450,7200,-2455.182331,0.252423,1.02321239,450,47700
107,450,7200,-2533.967683,0.249166,1.02983883,450,48150
108,450,7200,-2260.720955,0.245951,1.02671184,450,48600
109,450,7200,-2218.314879,0.242777,1.01578448,450,49050
110,450,7200,-2286.988924,0.239645,1.00285069,450,49500
111,450,7200,-2414.308201,0.236553,1.01259626,450,49950
112,450,7200,-2367.443898,0.233500,0.97497198,450,50400
113,450,7200,-2380.443728,0.230487,0.98971204,450,50850
114,450,7200,-2391.135603,0.227513,1.00665330,450,51300
115,450,7200,-2247.046036,0.224578,1.00763137,450,51750
116,450,7200,-2046.742459,0.221680,0.95984239,450,52200
117,450,7200,-2429.269667,0.218819,0.94474764,450,52650
118,450,7200,-2448.444695,0.215996,0.94314251,450,53100
119,450,7200,-2514.820507,0.213209,0.92671821,450,53550
120,450,7200,-2149.900892,0.210458,0.93944166,450,54000
121,450,7200,-2069.471251,0.207742,0.94822914,450,54450
122,450,7200,-2034.386696,0.205062,0.94515855,450,54900
123,450,7200,-2305.708111,0.202416,0.92098067,450,55350
124,450,7200,-2194.622663,0.199804,0.90760500,450,55800
125,450,7200,-2092.607211,0.197226,0.94082382,450,56250
126,450,7200,-2240.617529,0.194681,0.94839902,450,56700
127,450,7200,-2351.399922,0.192169,0.92819175,450,57150
128,450,7200,-2087.009681,0.189689,0.92147275,450,57600
129,450,7200,-2230.878759,0.187242,0.90421549,450,58050
130,450,7200,-2016.223676,0.184826,0.93784807,450,58500
131,450,7200,-2073.506388,0.182441,0.91395634,450,58950
