scenario,controller,avg_wait_mean,avg_wait_std,p95_wait_mean,p95_wait_std,avg_time_loss_mean,avg_time_loss_std,avg_queue_mean,avg_queue_std,throughput_mean,throughput_std,jain_fairness_mean,jain_fairness_std,switch_rate_mean,switch_rate_std
symmetric,webster,13.146984061248512,0.17809188625359185,37.2,0.4472135954999579,29.941610351326638,0.2703229766815417,1.157138888888889,0.019172996765681967,4884.6,56.73006257708518,0.9987395278333822,0.0005898497208289884,nan,nan
symmetric,actuated,16.168711448060986,0.31337578924385867,50.6,1.0553435459601683,33.618727744970876,0.34405056069490025,1.2241458333333335,0.02443231270033505,4878.4,55.35611980621474,0.9982574509456942,0.0021619992171696334,nan,nan
symmetric,d3qn,11.393726236178031,0.24960553840354674,31.8,0.4472135954999579,28.278768008170665,0.3006337939006142,1.0410798611111112,0.03111859283100731,4889.2,53.279451949133254,0.9995271917963336,0.00020535279518265457,nan,nan
asymmetric,webster,13.197556520629243,0.22503780381118735,37.6,0.5477225575051661,29.267687286240363,0.3028484519911089,1.116236111111111,0.021392384781497794,4707.6,16.516658257650064,0.990115351855926,0.0032097195557229167,nan,nan
asymmetric,actuated,7.9425828170189305,0.18411567091416106,27.2,1.6431676725154984,22.238685821870472,0.3288491413058634,0.7134236111111111,0.018010232076309207,4728.0,12.509996003196804,0.8956130497656745,0.011719759833482574,nan,nan
asymmetric,d3qn,13.534144124031736,0.7668294238670946,33.6,0.5477225575051661,31.213437686324863,1.1304764913068037,1.1489131944444444,0.05874850525293469,4723.8,19.67739820199815,0.9381314311141068,0.017039573300483415,nan,nan
incident,webster,13.213784773182587,0.07704227192225244,37.0,0.0,30.10084843615154,0.1012975785625444,1.1636666666666664,0.008937350938712021,4886.8,53.978699502674196,0.9990758192894603,0.000685543786337504,nan,nan
incident,actuated,16.348284765251474,0.3934557761407207,51.6,1.51657508881031,33.751362741957436,0.5664908349393017,1.2277708333333333,0.016068838969914682,4880.6,53.94719640537402,0.9987898497900037,0.0016909877903978862,nan,nan
incident,d3qn,11.45222797372406,0.13788916757609598,32.0,0.0,28.415878983013283,0.28840357721750876,1.0501770833333333,0.017225610105842948,4886.6,52.84221797010417,0.9980775066215802,0.0017682031914053559,nan,nan
high_demand,webster,13.215224831061082,0.05206041187260594,37.0,0.0,30.152052753029515,0.07894459881899797,1.3951631944444443,0.00912766587559059,5933.4,31.037074604414638,0.9991507176763832,0.0005395720089382626,nan,nan
high_demand,actuated,17.281485219894826,0.39741376750752544,54.6,0.8944271909999159,34.95299101097022,0.4919925050009832,1.4639513888888889,0.024065157255674822,5931.4,22.210357943986402,0.9994351240014359,0.00044303417309535996,nan,nan
high_demand,d3qn,11.020860546075019,0.1097356480933074,31.8,0.4472135954999579,27.735048918060464,0.09271351775430103,1.2206875,0.018682840918910294,5929.8,26.864474683120086,0.9992069317419755,0.0006277640629840775,nan,nan
low_demand,webster,11.814563169302456,0.23321633436693578,36.95,0.11180339887498948,25.1403704036827,0.211336005334182,0.51896875,0.009562951668204296,2365.0,32.51153641401772,0.9985591375856686,0.0013254626231353716,nan,nan
low_demand,actuated,7.517727706204977,0.12187923806345191,23.930000000000017,0.5911852501543258,20.49590477194305,0.19615709832911757,0.3357152777777778,0.007547166742501478,2370.6,33.23853185686757,0.9974104408750529,0.002290475965601804,nan,nan
low_demand,d3qn,10.418382758839213,0.6186648490310428,34.26999999999998,1.2306502346320995,24.039811167659245,0.805452026516207,0.45961805555555557,0.02917724934086749,2366.0,32.64965543462902,0.9408437697058856,0.03885950362684923,nan,nan
