metric,webster,d3qn
avg_all_reported_waiting_time,13.005224030540486,11.738999397227245
avg_co2_mg_per_completed_vehicle,328590.11849546654,328750.46885903383
avg_depart_delay,14.44641384995878,13.656469615543614
avg_fuel_mg_per_completed_vehicle,106105.85305647146,106154.77069656874
avg_nox_mg_per_completed_vehicle,157.01371599340504,156.67510334849086
avg_queue_length,1.150295138888889,1.0659548611111112
avg_stop_count,0.6694146743610883,0.7552707730467135
avg_time_loss,29.909068425391588,28.954871847871022
avg_travel_time,102.53112118713932,101.58577924762298
avg_waiting_time,13.087180544105523,11.760024803637867
completed_co2_mg,1594319254.9400036,1590494768.3400056
completed_fuel_mg,514825599.0299995,513576780.6299996
completed_nox_mg,761830.5500000012,757994.1499999989
jain_fairness,0.9987977111674252,0.9978424673236045
lane_wait_std,0.48594030760915385,0.5740206443307809
p95_waiting_time,37.0,32.0
reported_trips,4977,4977
throughput,4852,4838
throughput_per_hour,2426.0,2419.0
total_co2_mg,1617988895.1800044,1618433786.9200046
total_fuel_mg,522466116.3999997,522597009.5699995
total_nox_mg,772886.7800000005,770633.149999999
unfinished_trips,125,139
