episode,steps,sim_seconds,total_reward,epsilon,average_loss,updates,buffer_size
93,450,7200,-2645.883746,0.298850,1.17016898,450,41850
94,450,7200,-2631.190508,0.294994,1.12424940,450,42300
95,450,7200,-2449.663159,0.291187,1.11994856,450,42750
96,450,7200,-2745.891400,0.287430,1.13860733,450,43200
97,450,7200,-2411.522812,0.283721,1.09950228,450,43650
98,450,7200,-2492.317421,0.280060,1.13443326,450,44100
99,450,7200,-2428.638908,0.276447,1.15044537,450,44550
100,450,7200,-2626.520329,0.272879,1.10999314,450,45000
101,450,7200,-2526.966629,0.269358,1.11846684,450,45450
102,450,7200,-2509.292669,0.265883,1.10396137,450,45900
103,450,7200,-2558.110426,0.262452,1.11156872,450,46350
104,450,7200,-2810.714094,0.259066,1.07717607,450,46800
105,450,7200,-2619.936007,0.255723,1.08402548,450,47250
106,450,7200,-2291.525657,0.252423,1.01583558,450,47700
107,450,7200,-2311.073767,0.249166,1.03420205,450,48150
108,450,7200,-2414.005091,0.245951,1.02464875,450,48600
109,450,7200,-2418.404769,0.242777,1.00115992,450,49050
110,450,7200,-2185.824383,0.239645,0.99476462,450,49500
111,450,7200,-2733.301928,0.236553,1.00290281,450,49950
112,450,7200,-2335.344600,0.233500,0.97354608,450,50400
113,450,7200,-2585.041529,0.230487,0.99087055,450,50850
114,450,7200,-2553.911860,0.227513,0.96057387,450,51300
115,450,7200,-2535.477628,0.224578,1.00707578,450,51750
116,450,7200,-2582.500535,0.221680,0.99302960,450,52200
117,450,7200,-2709.295391,0.218819,0.99744966,450,52650
118,450,7200,-1914.723945,0.215996,0.98844999,450,53100
119,450,7200,-2393.224061,0.213209,0.98067079,450,53550
120,450,7200,-2482.242355,0.210458,1.02595091,450,54000
121,450,7200,-2598.628847,0.207742,0.96309851,450,54450
122,450,7200,-2117.832011,0.205062,1.00141810,450,54900
123,450,7200,-2047.734698,0.202416,0.94232643,450,55350
124,450,7200,-2322.373775,0.199804,0.96606342,450,55800
125,450,7200,-2169.874602,0.197226,0.95411695,450,56250
126,450,7200,-2251.057209,0.194681,0.95043101,450,56700
127,450,7200,-2181.558779,0.192169,0.95235827,450,57150
128,450,7200,-2100.200165,0.189689,0.91979389,450,57600
129,450,7200,-2349.151246,0.187242,0.94123013,450,58050
130,450,7200,-2320.170634,0.184826,0.93450114,450,58500
131,450,7200,-2166.529005,0.182441,0.92010131,450,58950
132,450,7200,-2053.303031,0.180087,0.90136384,450,59400
133,450,7200,-2060.670591,0.177763,0.91129144,450,59850
134,450,7200,-2186.888573,0.175469,0.89223385,450,60300
135,450,7200,-2074.128734,0.173205,0.89076982,450,60750
136,450,7200,-2072.676232,0.170970,0.88394064,450,61200
137,450,7200,-2404.105165,0.168764,0.90732357,450,61650
138,450,7200,-2335.895457,0.166586,0.93373636,450,62100
139,450,7200,-2456.536607,0.164437,0.89945238,450,62550
